source_row,candidate_name,source_claimed_dr_unverified,decision,matched_name,evidence_ref,source_url,shared_post_url,notes
12,SaaSHub,80,existing-main,SaaSHub,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
13,Fazier,83,existing-main,Fazier,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
14,Peerlist,77,existing-main,Peerlist,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
15,Scroll Launch,70,existing-main,Scroll Launch,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
16,Dev Hunt,63,existing-main,DevHunt,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
17,Launching Next,54,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
18,StartupBase,73,existing-main,StartupBase,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
19,Show Me Best AI,76,existing-main,ShowMeBestAI,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
20,EarlyHunt,63,existing-main,EarlyHunt,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
21,Startup Fame,83,existing-pending,Startup Fame,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
22,Aura++,73,existing-main,Aura Plus Plus,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
23,SEO Wins,32,existing-main,SEO Wins,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
24,Startup Ranking,61,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
25,PitchWall,69,existing-main,PitchWall,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
26,Startup Stash,65,existing-main,Startup Stash,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
27,Tiny Launch,73,existing-main,TinyLaunch,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
28,Startup Buffer,43,existing-main,Startup Buffer,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
29,Smol Launch,74,existing-pending,Smol Launch,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
30,LaunchIgniter,74,existing-main,LaunchIgniter,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
31,OpenHunts,71,existing-pending,OpenHunts,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
32,Toolfolio,35,existing-main,Toolfolio,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
33,Open Launch,72,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
34,AI Tools,67,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
35,GetApp,85,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
36,TinyHunt,43,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
37,Software Suggest,77,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified. Prior pending reconciliation says existing authority/catalog but neither repo candidate registry contains it; add a source-only lead rather than inherit an unsupported coverage claim."
38,MagicBox,68,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
39,There's an AI for That,77,existing-main,There's an AI for That,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
40,Altern,49,existing-main,Altern,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
41,Resource FYI,31,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
42,SaaS Genius,57,existing-main,SaaS Genius,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
43,PeerPush,75,existing-main,PeerPush,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
44,Clutch,91,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
45,Future Tools,69,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified. Prior pending reconciliation says existing authority/catalog but neither repo candidate registry contains it; add a source-only lead rather than inherit an unsupported coverage claim."
46,Futurepedia,72,existing-main,Futurepedia,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
47,Toolify,73,existing-main,Toolify AI,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
48,AI Valley,33,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
49,AI Tools Club,35,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
50,Startup Fast,72,existing-pending,Startup Fast,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
51,AI Parabellum,34,existing-main,AI Parabellum,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
52,MakerHunt,45,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
53,AIxploria,56,existing-main,AIxploria,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
54,Dev Resources,40,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
55,SideHunt,44,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
56,AI Tool Directory,52,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
57,Top AI Tools,64,existing-main,TopAI.tools,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
58,Microlaunch,64,existing-main,Microlaunch,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
59,Findly Tools,81,existing-pending,Findly.tools,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
60,Dang AI,82,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
61,Turbo0,80,existing-pending,Turbo0,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
62,Versily,68,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
63,Twelve Tools,82,existing-pending,Twelve Tools,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
64,NxGn Tools,69,existing-main,Next Gen Tools,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
65,Software World,73,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
66,FoundrList,72,existing-main,FoundrList,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
67,Neeed Directory,73,deferred,,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Prior LaunchRepo reconciliation deferred neeed.directory after HTTP 429 security checkpoint. Preserve that decision; no bypass or automatic activation.
68,Tool Pilot,78,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
69,UNO Directory,66,existing-pending,Uno Directory,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
70,Huzzler,64,existing-pending,Huzzler,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
71,Firsto,56,existing-main,Firsto,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
72,Daily Pings,56,existing-pending,DailyPings,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
73,Micro SaaS Examples,49,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
74,Indie Hunt,63,existing-main,IndieHunt,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
75,Build Voyage,43,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
76,Product Burst,40,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
77,Try Launch,56,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
78,Find Your SaaS,44,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
79,SaaS Hunt,60,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
80,Startup Listing,40,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
81,Promote Project,50,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
82,Idea Kiln,51,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
83,IndieHub,40,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
84,Euro Alternative,38,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
85,Open Tools,69,existing-main,Open Tools,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
86,StartupBlink,72,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified. Prior pending reconciliation says existing authority/catalog but neither repo candidate registry contains it; add a source-only lead rather than inherit an unsupported coverage claim."
87,Appscribed,41,existing-main,Appscribed,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
88,SEOFAI,19,existing-main,SEOFAI,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
89,Powerusers AI,33,existing-main,Powerusers,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
90,AI for Developers,21,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
91,ShipBoost,50,missing,,,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,"Missing from candidate registry; source-only name, identity and eligibility unverified."
92,Launch Vault,56,existing-pending,Launch Vault,origin/henry/launchrepo-directories-20260918,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
93,ToolFame,75,existing-main,ToolFame,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
94,Public APIs,46,existing-main,Public APIs,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
